Targets,Actives,Inactives,Inactives/Actives
aa2ar,482,31488,1.0
abl1,182,10742,1.0
ace,278,16880,1.0
aces,453,26214,1.0
ada,93,5449,1.0
ada17,503,35859,1.0
adrb1,247,15847,1.0
adrb2,231,14993,1.0
akt1,293,16438,1.0
akt2,117,6898,1.0
aldr,159,8992,1.0
ampc,48,2849,1.0
andr,267,14324,1.0
aofb,122,6886,1.0
bace1,263,18089,1.0
braf,152,9938,1.0
cah2,491,31135,1.0
casp3,199,10694,1.0
cdk2,472,27835,1.0
comt,41,3846,1.0
cp2c9,120,7441,1.0
cp3a4,168,11792,1.0
csf1r,166,12140,1.0
cxcr4,36,3400,1.0
def,96,5696,1.0
dhi1,330,19330,1.0
dpp4,532,40901,1.0
drd3,476,34014,1.0
dyr,230,17173,1.0
egfr,542,35024,1.0
esr1,381,20652,1.0
esr2,360,20158,1.0
fa10,537,28284,1.0
fa7,114,6240,1.0
fabp4,47,2746,1.0
fak1,100,5349,1.0
fgfr1,139,8684,1.0
fkb1a,111,5798,1.0
fnta,570,51451,1.0
fpps,85,8837,1.0
gcr,257,14985,1.0
glcm,54,3799,1.0
gria2,158,11834,1.0
grik1,101,6544,1.0
hdac2,180,10298,1.0
hdac8,166,10445,1.0
hivint,100,6647,1.0
hivpr,521,35711,1.0
hivrt,338,18858,1.0
hmdh,170,8744,1.0
hs90a,81,4842,1.0
hxk4,92,4700,1.0
igf1r,148,9288,1.0
inha,43,2299,1.0
ital,138,8487,1.0
jak2,107,6492,1.0
kif11,116,6839,1.0
kit,166,10437,1.0
kith,57,2848,1.0
kpcb,125,8694,1.0
lck,419,27377,1.0
lkha4,171,9444,1.0
mapk2,100,6147,1.0
mcr,93,5144,1.0
met,166,11240,1.0
mk01,79,4540,1.0
mk10,104,6593,1.0
mk14,578,35810,1.0
mmp13,569,37153,1.0
mp2k1,121,8139,1.0
nos1,100,8030,1.0
nram,98,6198,1.0
pa2ga,99,5149,1.0
parp1,508,30012,1.0
pde5a,398,27522,1.0
pgh1,194,10763,1.0
pgh2,435,6035,1.0
plk1,106,6797,1.0
pnph,103,6948,1.0
ppara,373,19366,1.0
ppard,240,12228,1.0
pparg,484,25262,1.0
prgr,291,15619,1.0
ptn1,130,7236,1.0
pur2,50,2700,1.0
pygm,77,2006,1.0
pyrd,111,6447,1.0
reni,103,6958,1.0
rock1,100,6293,1.0
rxra,131,6929,1.0
sahh,63,3446,1.0
src,513,34468,1.0
tgfr1,133,8487,1.0
thb,103,7427,1.0
thrb,450,26978,1.0
try1,440,25929,1.0
tryb1,148,7635,1.0
tysy,109,6740,1.0
urok,162,9832,1.0
vgfr2,409,24909,1.0
wee1,102,6139,1.0
xiap,100,5147,1.0
